,HomeCountry,Filename,duration
0,Trinidad,T1,1.1376041666666667
1,Trinidad,T2,0.2948125
2,Trinidad,T3,0.19720833333333335
3,Trinidad,T4,0.24320833333333333
4,Trinidad,T5,0.26
5,Trinidad,T6,0.8492083333333333
6,Trinidad,T7,0.0828125
7,Trinidad,T8,0.5803958333333333
8,Trinidad,T9,0.25
9,Trinidad,T10,0.12160416666666667
10,Trinidad,T11,0.4548125
11,Trinidad,T12,0.5768125
12,Trinidad,T13,0.3788125
13,Trinidad,T14,0.324
14,Trinidad,T15,0.3163958333333333
15,Trinidad,T16,0.7676041666666666
16,Trinidad,T17,0.1368125
17,Trinidad,T18,0.2692083333333333
18,Trinidad,T19,0.9163958333333333
19,Trinidad,T20,0.5528125
20,Trinidad,T21,0.5228125
21,Trinidad,T22,0.19839583333333333
22,Trinidad,T23,0.23120833333333332
23,Trinidad,T24,0.702
24,Trinidad,T25,0.35839583333333336
25,Trinidad,T26,0.09560416666666667
26,Trinidad,T27,0.5972083333333333
27,Trinidad,T28,0.438
28,Trinidad,T29,0.4532083333333333
29,Trinidad,T30,0.26839583333333333
30,Trinidad,T31,0.634
31,Trinidad,T32,0.48920833333333336
32,Trinidad,T33,0.346
33,Trinidad,T34,0.14960416666666668
34,Trinidad,T35,0.23039583333333333
35,Trinidad,T36,0.41039583333333335
36,Trinidad,T37,0.5812083333333333
37,Trinidad,T38,0.13360416666666666
38,Trinidad,T39,0.5476041666666667
39,Trinidad,T40,0.27520833333333333
40,Trinidad,T41,0.136
41,Trinidad,T42,0.09839583333333334
42,Trinidad,T43,0.39520833333333333
43,Trinidad,T44,0.6843958333333333
44,Trinidad,T45,0.4496041666666667
45,Trinidad,T46,0.32960416666666664
46,Trinidad,T47,0.378
47,Trinidad,T48,0.3028125
48,Trinidad,T49,0.2408125
49,Trinidad,T50,0.2368125
50,Trinidad,T51,0.7816041666666667
51,Trinidad,T52,0.9992083333333334
52,Trinidad,T53,0.14439583333333333
53,Trinidad,T54,0.22439583333333332
54,Trinidad,T55,0.48639583333333336
55,Trinidad,T56,0.5783958333333333
56,Trinidad,T57,0.2828125
57,Trinidad,T58,0.21239583333333334
58,Trinidad,T59,0.11960416666666666
59,Trinidad,T60,0.6296041666666666
60,Trinidad,T61,0.4472083333333333
61,Trinidad,T62,0.15520833333333334
62,Trinidad,T63,1.8448125
63,Trinidad,T64,0.7128125
64,Trinidad,T65,0.2512083333333333
65,Trinidad,T66,0.3048125
66,Trinidad,T67,0.22439583333333332
67,Trinidad,T68,0.11120833333333334
68,Trinidad,T69,0.20760416666666667
69,Trinidad,T70,0.09639583333333333
70,Trinidad,T71,0.4528125
71,Trinidad,T72,0.08120833333333333
72,Trinidad,T73,0.3608125
73,Trinidad,T74,0.1408125
74,Trinidad,T75,0.222
75,Trinidad,T76,0.3123958333333333
76,Trinidad,T77,0.40639583333333335
77,Trinidad,T78,0.5603958333333333
78,Trinidad,T79,0.332
79,Trinidad,T80,0.16720833333333332
